Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SaoPaulo,Indisponível,394.0,13,0,Curvex Modelador De Cílios Merheje Preto 1 Unidade,0,0,0,0,0
SaoPaulo,Indisponível,394.0,15,0,Proteína Vegana True Vegan - Doce de Leite 34g,0,0,0,0,0
SãoPaulo,Disponível,394.0,13,4006000005430,Lenços de Limpeza Demaquilantes Nivea 3 EM 1 Ação Refrescante 25 Unidades,"26,90","22,90",-14.9%,"22,90",-14.9%
SaoPaulo,Indisponível,394.0,13,0,Whey Protein Isolado - 5 Sachês  Sabor Baunilha,0,0,0,0,0
SãoPaulo,Disponível,394.0,14,7897595615022,Sinvastacor 20mg Sandoz do Brasil  30 Compirmidos,"114,66","52,73",-54.0%,"52,73",-54.0%
SaoPaulo,Indisponível,394.0,14,0,"Sombra Em Bastão Essence Blend & Line 02 Oh My Ruby 1,8g",0,0,0,0,0
SãoPaulo,Disponível,394.0,14,7896112126669,"Maleato de Timolol 0,5% Genérico Neo Química 5ml","12,93","7,18",-44.5%,"7,18",-44.5%
SãoPaulo,Disponível,394.0,14,7896422507547,"Adoless 0,060mg + 0,015mg Farmoquímica 28 Comprimidos Revestidos","54,99","54,99",-,"54,99",-
SãoPaulo,Disponível,394.0,14,7896112123033,Cloridrato de Clindamicina 300mg Genérico Teuto 16 Cápsulas Gelatinosas,"98,17","35,69",-63.6%,"35,69",-63.6%
SãoPaulo,Disponível,394.0,15,7898942936524,Cera Cremosa Facial Depilsam de Micro-Ondas Maracujá 40G,"19,59","19,59",-,"19,59",-
SaoPaulo,Indisponível,394.0,14,0,Adoçante líquido 200ml - Assugrin,0,0,0,0,0
SãoPaulo,Disponível,394.0,16,7894916149808,Tadalafila 20mg Genérico Cimed 4 Comprimidos,"37,95","17,84",-53.0%,"17,84",-53.0%
SaoPaulo,Indisponível,394.0,13,0,Suco Integral Villa Piva Uva Tinto com Hortelã 300ml,0,0,0,0,0
SaoPaulo,Indisponível,394.0,12,0,Mari Maria Creamy Matte - Batom Liquido 4ml - Classy,0,0,0,0,0
SaoPaulo,Indisponível,393.0,12,0,L-CARN 2000 líquida Laranja 480 ML Integralmédica,0,0,0,0,0
SãoPaulo,Disponível,393.0,12,070847022015,Energético Monster Energy 473ml,"12,99","12,49",-3.8%,"12,49",-3.8%
SãoPaulo,Disponível,393.0,14,7896714212104,Prednisona 20mg Genérico Neo Química 10 comprimidos,"26,17","10,64",-59.3%,"10,64",-59.3%
SaoPaulo,Indisponível,393.0,14,0,Óleo Essencial De Alecrim Energizar 10ml Multilaser Saúde - HC123,0,0,0,0,0
SãoPaulo,Disponível,393.0,12,7894916508933,Telmisartana 40mg Genérico Althaia 30 Comprimidos,"99,56","99,56",-,"99,56",-
SãoPaulo,Disponível,393.0,15,7509546060781,Creme Dental Colgate Kids Sem Fluor 50g,"19,99","19,99",-,"19,99",-
SaoPaulo,Indisponível,393.0,14,0,Bombom Garoto Serenata de Amor 16g,0,0,0,0,0
SaoPaulo,Indisponível,393.0,13,0,"Diane 35 2mg + 0,035mg Bayer 63 Drágeas",0,0,0,0,0
SaoPaulo,Indisponível,393.0,13,0,"Paleta de Sombras - Glam To Go Palette Nádia Tambasco By Océane 9,5g",0,0,0,0,0
SãoPaulo,Disponível,393.0,13,7896637027724,Inpruv Dk 7.000UI + 100mcg Apsen 30 Comprimidos,"30,34","24,65",-18.8%,"24,65",-18.8%
SaoPaulo,Indisponível,393.0,12,0,Pó Descolorante Azul Aloe Vera E Silicone Amend 300g,0,0,0,0,0
SãoPaulo,Disponível,393.0,13,7898946495591,Toalhas Umedecidas Ever Care Adulto 80 Unidades,"25,59","20,99",-18.0%,"20,99",-18.0%
SãoPaulo,Disponível,393.0,14,7891268148831,"Olmy HTC 40mg + 12,5mg Brace Pharma 30 Comprimidos","191,72","182,20",-5.0%,"182,20",-5.0%
SãoPaulo,Disponível,393.0,13,7891000056523,Fórmula Infantil Nestogeno 1 400g,"35,99","35,99",-,"35,99",-
SãoPaulo,Disponível,393.0,14,7891317435943,Bilastina 20mg Genérico Eurofarma 30 Comprimidos,"38,11","25,99",-31.8%,"25,99",-31.8%
SãoPaulo,Disponível,393.0,16,7897595609854,Sinvastatina 20mg Genérico Novartis 30 Comprimidos Revestidos,"123,59","10,99",-91.1%,"10,99",-91.1%
SaoPaulo,Indisponível,393.0,13,0,Pó Descolorante Ultra Rápido Ervas E Proteínas Refil Yamá - 300g,0,0,0,0,0
SaoPaulo,Indisponível,393.0,16,0,Kit Miss Frandy - Cílios Postiços com 3 Pares e Uma Pinça,0,0,0,0,0
SãoPaulo,Disponível,392.0,13,7898586960183,Cera Depilatória Cremosa Corporal Depilsam para Microondas Mel Pote 200g,"27,99","27,99",-,"27,99",-
SãoPaulo,Disponível,392.0,13,7896181918424,Pantoprazol 20mg Genérico Biosintética 28 Comprimidos,"37,77","11,38",-69.9%,"11,38",-69.9%
SãoPaulo,Disponível,392.0,13,7891025118763,Fórmula Infantil Aptanutri Profutura 3 800g,"105,99","98,99",-6.6%,"98,99",-6.6%
SaoPaulo,Indisponível,392.0,14,0,Hair Spray Amend Ultra Forte Valorize 400ml,0,0,0,0,0
SaoPaulo,Indisponível,392.0,14,0,Chá branco 500mg 120 Cápsulas,0,0,0,0,0
SãoPaulo,Disponível,392.0,15,7896004704036,Nimesulida 100mg Genérico Neo Química 12 Comprimidos,"21,19","5,69",-73.1%,"5,69",-73.1%
SãoPaulo,Disponível,392.0,13,7896066766287,Chocolate Bel Moranguete 25g,"2,59","2,59",-,"2,59",-
SãoPaulo,Disponível,392.0,14,7898946495690,Kit Lenço Umedecido Ever Baby Camomila 4 Pacotes com 96 Unidades,"11,99","11,99",-,"11,99",-
SãoPaulo,Disponível,392.0,12,7896112116660,Captopril 25mg Genérico Geolab 30 Comprimidos,"10,81","4,59",-57.5%,"4,59",-57.5%
SãoPaulo,Disponível,392.0,14,7896422516945,Alopurinol 300mg Genérico Prati 30 Comprimidos,"33,95","24,59",-27.6%,"24,59",-27.6%
SãoPaulo,Disponível,392.0,14,7898040324223,Otociriax 2mg/ml + 10mg/ml Farmoquímica 5ml Suspensão Otológica,"52,26","48,59",-7.0%,"48,59",-7.0%
SãoPaulo,Disponível,391.0,14,7500435171243,Escova Dental Oral-B Sensitive Indicator Extra Macia 2 Unidades + Fio Dental Satin Floss,"24,59","22,99",-6.5%,"22,99",-6.5%
SaoPaulo,Indisponível,391.0,14,0,Creme Bed Head After Party Smooth 50ml,0,0,0,0,0
SaoPaulo,Indisponível,391.0,13,0,Myrbetric 50mg Astellas 10 Cápsulas,0,0,0,0,0
SãoPaulo,Disponível,391.0,12,7891000320242,Snack Mucilon Meu Primeiro Lanchinho Laranja e Banana 35g,"5,59","5,59",-,"5,59",-
SãoPaulo,Disponível,391.0,15,7500435137737,Pasta de Dente Infantil Oral-B Kids Disney Princesas 50g,"11,99","9,49",-20.9%,"9,49",-20.9%
SãoPaulo,Disponível,391.0,15,7896007541874,Absorvente Interno Intimus® Discreto Super 8 Unidades,"12,59","9,99",-20.7%,"9,99",-20.7%
SãoPaulo,Disponível,391.0,15,7891035990861,Preservativo Olla Play 6 Unidades,"7,99","7,49",-6.3%,"7,49",-6.3%
