Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoJoão;7896004773957;Naproxeno 550mg 10 Comprimidos Revestidos Nexflen Legrand;Disponível;27,90;25,89;-7.2%;25,89;-7.2%;Analgésicos;1251416;https://lojavtex.saojoaofarmacias.com.br/naproxeno-550mg-10-comprimidos-revestidos-nexflen-legrand-10030888/p
SãoJoão;7897930002456;Homeopatia Ansiolide Ansiedade 30ml Therapi;Disponível;49,90;29,90;-40.1%;29,90;-40.1%;Fitoterápicos;1249893;https://lojavtex.saojoaofarmacias.com.br/homeopatia-ansiolide-ansiedade-30ml-therapi-10035626/p
SãoJoão;7896523226590;Antigripal Cimegripe Dia 20mg + 800mg 12 comprimidos Cimed;Disponível;18,90;18,90;-;18,90;-;Gripe E Resfriado;1249738;https://lojavtex.saojoaofarmacias.com.br/antigripal-cimegripe-dia-20mg---800mg-12-comprimidos-cimed-10008460/p
SãoJoão;7898700410488;Fexofenadina 6mg/ml 60ml Vitamedic;Disponível;26,04;26,04;-;26,04;-;Alergias E Infecções;1249411;https://lojavtex.saojoaofarmacias.com.br/fexofenadina-6mg-ml-60ml-vitamedic-10037351/p
SãoJoão;7896663332700;Propomax Kids Própolis Uva Apis Flora 30ml;Disponível;19,90;19,90;-;19,90;-;Fitoterápicos;1249072;https://lojavtex.saojoaofarmacias.com.br/propomax-kids-propolis-uva-apis-flora-30ml-10035489/p
SãoJoão;7908733201776;Xarope Resfben Infantil 120ml Momentos;Disponível;19,90;19,90;-;19,90;-;Gripe E Resfriado;1249010;https://lojavtex.saojoaofarmacias.com.br/xarope-resfben-infantil-120ml-momentos-10034777/p
SãoJoão;7899095260443;Xarope Ibuprofeno 50mg/5ml 30ml Genérico Infantil Geolab;Disponível;17,93;17,93;-;17,93;-;Analgésicos;1248788;https://lojavtex.saojoaofarmacias.com.br/xarope-ibuprofeno-50mg-5ml-30ml-generico-infantil-geolab-10034993/p
SãoJoão;7908733201769;Xarope Resfben 120ml Momentos;Disponível;19,90;19,90;-;19,90;-;Gripe E Resfriado;1248727;https://lojavtex.saojoaofarmacias.com.br/xarope-resfben-120ml-momentos-10034778/p
SãoJoão;7896094930230;Descongestionante Coristina D Congest Bronfeniramina Fenilefrina 12 Comprimidos Hypera Pharma;Disponível;27,15;27,15;-;27,15;-;Gripe E Resfriado;1248345;https://lojavtex.saojoaofarmacias.com.br/descongestionante-coristina-d-congest-bronfeniramina-fenilefrina-12-comprimidos-hypera-pharma-10038646/p
SãoJoão;7896714212098;Prednisona 20mg 20 comprimidos Neo Química Genérico;Disponível;52,70;29,29;-44.4%;29,29;-44.4%;Alergias E Infecções;1248176;https://lojavtex.saojoaofarmacias.com.br/prednisona-20mg-20-comprimidos-neo-quimica-generico-10088698/p
