Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,426.0,13,7896094921979,Neosaldina 20 drágeas,"35,99","28,79",-20.0%,"27,35",-24.0%
VeraCruz,Disponível,426.0,13,7896094200982,Caltren 10mg 30 comprimidos,0,0,0,0,0
VeraCruz,Disponível,425.0,15,7897473201637,"Adacne 0,1% Gel 30g",0,0,0,0,0
VeraCruz,Disponível,425.0,16,7891317177676,Primera 30 150mcg + 30mcg 21 comprimidos,"45,05","37,39",-17.0%,"35,52",-21.2%
VeraCruz,Disponível,424.0,15,7896112452461,Ad-Muc 100mg Pomada Bucal 10g,"62,36","58,62",-6.0%,"55,69",-10.7%
VeraCruz,Disponível,424.0,13,7898040322137,"Adoless 3 0,060mg + 0,015mg 84 comprimidos revestidos","131,65","52,66",-60.0%,"100,05",-24.0%
VeraCruz,Disponível,424.0,16,7896637024358,"Colchis 0,5mg 30 comprimidos","84,69","40,65",-52.0%,"38,62",-54.4%
VeraCruz,Disponível,424.0,14,7896112421498,Xefo 8mg 30 comprimidos revestidos,"54,33","46,18",-15.0%,"43,87",-19.3%
VeraCruz,Disponível,424.0,12,7896658011368,Diosmin SDU 900mg + 100mg Sabor Laranja / Limão 30 sachês com 5g cada,0,0,0,0,0
VeraCruz,Disponível,423.0,14,7898074618183,Xarope Seki 120ml,"32,49","28,91",-11.0%,"27,46",-15.5%
VeraCruz,Disponível,423.0,12,7896094918108,Benegrip Multi Dia 20 comprimidos,"45,99","43,23",-6.0%,"41,07",-10.7%
VeraCruz,Disponível,423.0,15,7897411601505,Hirudoid 300 Gel 3mg/g 40g,"42,39","42,39",-0.0%,"40,27",-5.0%
VeraCruz,Disponível,423.0,14,7896094915381,Atroveran Dip 1g 20 comprimidos,"27,49","24,74",-10.0%,"23,50",-14.5%
VeraCruz,Disponível,423.0,14,7897316805299,Solução Oftálmica Relestat 5mg/ml 5ml,"82,88","77,91",-6.0%,"74,01",-10.7%
VeraCruz,Disponível,423.0,15,7891268118001,Ponstan 500mg 24 comprimidos,"47,38","41,22",-13.0%,"39,16",-17.3%
VeraCruz,Disponível,422.0,14,7896261004900,"Diovan HCT 160mg + 12,5mg Novartis 28 comprimidos revestidos","157,14","52,38",-66.7%,"149,28",-5.0%
VeraCruz,Disponível,422.0,16,7896523206547,Valerimed 50mg 20 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,421.0,15,7896094928732,Lisador Cólica 20 comprimidos revestidos,"27,97","26,29",-6.0%,"24,98",-10.7%
VeraCruz,Disponível,421.0,16,7894916516310,Enavo 8mg 10 comprimidos EMS,"59,85","46,08",-23.0%,"43,78",-26.9%
VeraCruz,Disponível,421.0,13,7896658016653,Bravan 80mg 30 comprimidos revestidos,"51,91","51,91",-0.0%,"49,31",-5.0%
VeraCruz,Disponível,420.0,15,7896026300155,Laxante Dulcolax 5mg 20 drágeas,"20,47","18,29",-10.6%,"17,38",-15.1%
VeraCruz,Disponível,420.0,13,7891142141286,"Diprosone 0,5mg/ 30ml","55,36","50,38",-9.0%,"47,86",-13.5%
VeraCruz,Disponível,420.0,15,7898133139277,Suplemento Hidroeletrolítico Sorox Sabor Limão 550ml,0,0,0,0,0
VeraCruz,Disponível,420.0,13,7897337716178,Nites 50mcg/automatizção Spray 120 dose 17ml,0,0,0,0,0
VeraCruz,Disponível,420.0,12,7896112144892,Ferronil 40mg 50 comprimidos revestidos,"15,15","9,54",-37.0%,"9,06",-40.2%
VeraCruz,Disponível,420.0,16,7896637033848,Zanidip 20mg 30 comprimidos,"261,00","66,99",-74.3%,"190,92",-26.9%
VeraCruz,Disponível,420.0,14,7897947603783,Creme de Arnica Cimed com Mentol 60g,0,0,0,0,0
VeraCruz,Disponível,419.0,15,7896422516624,Respiratus 7mg/m Xarope Aroma Artificial de Cereja 100ml,"40,63","36,16",-11.0%,"34,35",-15.5%
VeraCruz,Disponível,418.0,13,7897129300134,"Verrux 0,20g/ml + ,015ml/ml Solução 10ml","78,90","72,48",-8.1%,"68,86",-12.7%
VeraCruz,Disponível,418.0,13,7891317124281,"Holmes H 40mg + 12,5mg 30 comprimidos revestidos","90,04","67,53",-25.0%,"64,15",-28.8%
VeraCruz,Disponível,418.0,14,7896637032803,Eniagor 50mg/ml Solução Capilar 2 frascos 50ml cada,"111,29","69,00",-38.0%,"65,55",-41.1%
VeraCruz,Disponível,417.0,12,7896094202047,Cebralat 100mg 60 comprimidos,0,0,0,0,0
VeraCruz,Disponível,417.0,14,7896372505006,Castanha da Índia Atalaia 30 drágeas,"60,21","53,59",-11.0%,"50,91",-15.4%
VeraCruz,Disponível,416.0,15,7891317033149,Coltrax 4mg 20 comprimidos,"71,46","60,74",-15.0%,"57,70",-19.3%
VeraCruz,Disponível,416.0,14,7891268106596,Viagra 50mg 2 Comprimidos,"76,29","66,37",-13.0%,"63,05",-17.4%
VeraCruz,Disponível,416.0,13,7898582380268,"Belarina 2mg + 0,02mg 28 comprimidos revestidos","68,01","54,41",-20.0%,"51,69",-24.0%
VeraCruz,Disponível,416.0,14,7896622305844,Antiácido Pó Efervescente Estomazil Sabor Guaraná 5g,"4,13","3,47",-16.0%,"3,30",-20.1%
VeraCruz,Disponível,416.0,15,7896658025112,Prolive 30 cápsulas,"129,90","64,95",-50.0%,"123,41",-5.0%
VeraCruz,Disponível,415.0,12,7896331702828,Xarope Glyteol 200mg/15ml com Mentol 100ml,0,0,0,0,0
VeraCruz,Disponível,415.0,15,7891058021689,"Laxante Guttalax 7,5mg/ml 30ml","47,22","47,22",-0.0%,"44,86",-5.0%
VeraCruz,Disponível,415.0,12,7896331703573,Ritmoneuran RTM Solução Oral 100ml,0,0,0,0,0
VeraCruz,Disponível,415.0,13,7899620911543,Xarope Specdera Sabor Cereja 100ml,0,0,0,0,0
VeraCruz,Disponível,414.0,14,7891158104060,Vitamina D Sof D 7.000 UI 8 cápsulas gelatinosas moles,"35,55","30,57",-14.0%,"29,04",-18.3%
VeraCruz,Disponível,414.0,14,7896094926653,Vabam 20mg 30 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,414.0,14,7891721010026,"Diclin 2mg + 0,035mg 21 comprimidos revestidos","25,39","20,57",-19.0%,"19,54",-23.0%
