Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
VeraCruz;7898007677416;Solução Injetável Endovenosa Manitol 20% 250ml;Disponível;0;0;0;0;0;Pressão Alta > Diuréticos;21333;https://www.drogariaveracruz.com.br/solucao-de-manitol-20-250ml/p
VeraCruz;7896112427933;Aradois H 50mg + 12,5mg 60 comprimidos revestidos;Disponível;158,30;150,39;-5.0%;52,77;-66.7%;Pressão Alta > Anti-Hipertensivo;11300;https://www.drogariaveracruz.com.br/aradois-h-50mg-125mg-60-comprimidos-revestidos/p
VeraCruz;7896676410761;Funtyl 250mg 14 comprimidos;Disponível;0;0;0;0;0;Pele e Mucosa;16195;https://www.drogariaveracruz.com.br/funtyl-250mg-14-comprimidos/p
VeraCruz;7899640805051;OHDE - 7000UI, 8 comprimidos revestidos;Disponível;0;0;0;0;0;Vitaminas;16320;https://www.drogariaveracruz.com.br/ohde-7000ui-8-comprimidos-revestidos/p
VeraCruz;7891058006389;PURAN T4 - 75mcg, 28 comprimidos;Disponível;0;0;0;0;0;Hormônios;15986;https://www.drogariaveracruz.com.br/puran-t4-75mcg-28-comprimidos/p
VeraCruz;7896212424283;RESOLOR - 2mg, 14 comprimidos revestidos;Disponível;0;0;0;0;0;Digestão > Laxantes e Reguladores Intestinais;18493;https://www.drogariaveracruz.com.br/resolor-2mg-14-comprimidos-revestidos/p
VeraCruz;7896641812811;Inzelm 20mg 30 Comprimidos Revestidos;Disponível;254,48;203,07;-20.2%;71,25;-72.0%;Digestão > Úlcera e Gastrite;19660;https://www.drogariaveracruz.com.br/inzelm-30-comprimidos-revestidos-20mg/p
VeraCruz;7896004711287;Maleato de Dexclorfeniramina 2mg EMS 20 comprimidos;Disponível;15,29;10,02;-34.5%;10,55;-31.0%;Alergias;16247;https://www.drogariaveracruz.com.br/maleato-de-dexclorfeniramina-2mg-ems-20-comprimidos/p
VeraCruz;7896658004162;Novocilin 875mg Caixa Contendo 20 comprimidos;Disponível;108,96;86,95;-20.2%;91,53;-16.0%;Antibióticos;23853;https://www.drogariaveracruz.com.br/novocilin-875mg-caixa-contendo-20-comprimidos/p
VeraCruz;7896658040887;Tormiv Odg Trometamol Cetorolaco 10mg 20 sachês granulado orodispersível;Disponível;44,93;42,68;-5.0%;44,93;-0.0%;Dor e Febre > Analgésico;25748;https://www.drogariaveracruz.com.br/tormiv-odg-trometamol-cetorolaco-10mg-20-saches-granulado-orodispersivel/p
VeraCruz;7896331705454;Sanilin Spray Sabor Menta 50ml;Disponível;0;0;0;0;0;Dor e Febre > Dor de Garganta;18333;https://www.drogariaveracruz.com.br/sanilin-spray-sabor-menta-50ml/p
VeraCruz;7896094917330;Doril DC 500mg + 65mg 4 comprimidos;Disponível;0;0;0;0;0;Dor e Febre > Analgésico;13389;https://www.drogariaveracruz.com.br/doril-dc-500mg-65mg-4-comprimidos/p
VeraCruz;7896112413677;Pressat 2,5mg 60 comprimidos;Disponível;80,19;60,18;-25.0%;63,35;-21.0%;Pressão Alta > Anti-Hipertensivo;13444;https://www.drogariaveracruz.com.br/pressat-25mg-60-comprimidos/p
VeraCruz;7891058021597;Anador 500mg 24 comprimidos;Disponível;29,98;24,49;-18.3%;25,78;-14.0%;Dor e Febre > Analgésico;11254;https://www.drogariaveracruz.com.br/anador-500mg-24-comprimidos/p
VeraCruz;7891317436148;Astro 900mg 1 Frasco de Pó Para Suspensão de Uso Oral + 1 Flaconete Com 12ml de Diluente + Seringa Dosadora;Disponível;82,66;64,39;-22.1%;67,78;-18.0%;Antibióticos;23898;https://www.drogariaveracruz.com.br/astro-900mg-1-frasco-de-po-para-suspensao-de-uso-oral-1-flaconete-com-12ml-de-diluente-seringa-dosadora/p
VeraCruz;7896112401841;COGIT 24MG C/30 CPS;Disponível;0;0;0;0;0;Psicotrópicos;24986;https://www.drogariaveracruz.com.br/cogit-24mg-c30-cps/p
VeraCruz;7896112108320;Kit Solução Estéril para Lentes Bio Lent 360ml + 120ml + Estojo para Lentes;Disponível;46,25;37,79;-18.3%;39,78;-14.0%;Olhos > Produtos para Lentes;21095;https://www.drogariaveracruz.com.br/kit-solucao-esteril-para-lentes-bio-lent-360ml-120ml-estojo-para-lentes/p
VeraCruz;7897337705837;Timoptol Solução Oftálmica 0,5% 5ml;Disponível;24,04;20,79;-13.5%;21,88;-9.0%;Olhos > Lubrificantes e Colírios;12515;https://www.drogariaveracruz.com.br/solucao-oftalmica-timoptol-05-5ml/p
VeraCruz;7896026170567;Malvona Solução Oral 200ml;Disponível;45,17;37,34;-17.3%;39,30;-13.0%;Dor e Febre > Anti-Inflamatórios;12268;https://www.drogariaveracruz.com.br/malvona-solucao-oral-200ml/p
VeraCruz;7896006290483;Maxinom 1mg/G + 5mg/G + 6000Ui/G 1 Bisnaga Com 35G de Pomada de Uso Oftalmológico;Disponível;0;0;0;0;0;Antibióticos;23842;https://www.drogariaveracruz.com.br/maxinom-1mgg-5mgg-6000uig-1-bisnaga-com-35g-de-pomada-de-uso-oftalmologico/p
VeraCruz;7897337712927;Desalex Xarope 60ml;Disponível;67,60;58,44;-13.6%;61,52;-9.0%;Alergias;11396;https://www.drogariaveracruz.com.br/xarope-desalex-60ml/p
VeraCruz;7896212420629;HALDOL 2 MG GTS C/30 ML;Disponível;0;0;0;0;0;Psicotrópicos;24975;https://www.drogariaveracruz.com.br/haldol-2-mg-gts-c30-ml/p
VeraCruz;8902220109599;Rosucor 20mg 60 comprimidos revestidos;Disponível;0;0;0;0;0;Colesterol e Triglicerídeos;22344;https://www.drogariaveracruz.com.br/rosucor-20mg-60-comprimidos-revestidos/p
VeraCruz;7896206402853;SeloZok 25mg 30 comprimidos revestidos de liberação controlada;Disponível;42,39;40,27;-5.0%;42,39;-0.0%;Pressão Alta > Anti-Hipertensivo;11542;https://www.drogariaveracruz.com.br/selozok-25mg-30-comprimidos-revestidos-de-liberacao-controlada/p
VeraCruz;7896006277408;Óleo Mineral União Química 100ml;Disponível;15,90;11,33;-28.7%;11,93;-25.0%;Digestão > Laxantes e Reguladores Intestinais;12355;https://www.drogariaveracruz.com.br/oleo-mineral-uniao-quimica-100ml/p
VeraCruz;7896006238751;Pilem 0,75mg 2 comprimidos;Disponível;0;0;0;0;0;Saúde Feminina > Pílula Do Dia Seguinte;15959;https://www.drogariaveracruz.com.br/pilem-075mg-2-comprimidos/p
VeraCruz;7896227800874;Salonpas Adesivos Grande 2un;Disponível;9,90;8,08;-18.4%;8,51;-14.0%;Dor e Febre > Anti-Inflamatórios;14160;https://www.drogariaveracruz.com.br/adesivos-salonpas-grande-2un/p
VeraCruz;7896094908529;Doril Enxaqueca 18 comprimidos revestidos;Disponível;41,99;35,10;-16.4%;36,95;-12.0%;Dor e Febre > Enxaqueca;12131;https://www.drogariaveracruz.com.br/doril-enxaqueca-18-comprimidos-revestidos/p
VeraCruz;7898100240777;Tyflen 200mg/ml 15ml;Disponível;0;0;0;0;0;Dor e Febre > Analgésico;20862;https://www.drogariaveracruz.com.br/tyflen-200mgml-15ml/p
VeraCruz;7896658037009;Allestra 30 75mcg + 30mcg 21 comprimidos;Disponível;40,30;32,16;-20.2%;33,85;-16.0%;Saúde Feminina > Anticoncepcionais;17656;https://www.drogariaveracruz.com.br/allestra-30-75mcg-30mcg-21-comprimidos/p
VeraCruz;7897411610675;Benicar HCT 40 + 12,5mg 30 comprimidos revestidos;Disponível;0;0;0;0;0;Pressão Alta > Anti-Hipertensivo;17714;https://www.drogariaveracruz.com.br/benicar-hct-40-125mg-30-comprimidos-revestidos/p
VeraCruz;7896006210771;Doxaprost 2mg 30 comprimidos;Disponível;37,28;9,57;-74.3%;10,07;-73.0%;Saúde Masculina > Próstata;13512;https://www.drogariaveracruz.com.br/doxaprost-2mg-30-comprimidos/p
VeraCruz;7897595632302;ROSULIB - 10mg, 30 comprimidos revestidos;Disponível;0;0;0;0;0;Colesterol e Triglicerídeos;10728;https://www.drogariaveracruz.com.br/rosulib-10mg-30-comprimidos-revestidos/p
VeraCruz;7896637018012;ARTANE 2MG C/30 CPR;Disponível;0;0;0;0;0;Psicotrópicos;24491;https://www.drogariaveracruz.com.br/artane-2mg-c30-cpr/p
VeraCruz;7896658001635;Novocilin 500mg Caixa Contendo 21 Cápsulas Gelatinosas Duras;Disponível;0;0;0;0;0;Antibióticos;23840;https://www.drogariaveracruz.com.br/novocilin-500mg-caixa-contendo-21-capsulas-gelatinosas-duras/p
VeraCruz;5702150142948;LEXAPRO 10 MG C/30 CPR;Disponível;0;0;0;0;0;Psicotrópicos;24619;https://www.drogariaveracruz.com.br/lexapro-10-mg-c30-cpr/p
VeraCruz;7896094906594;Tamarine 12mg 20 cápsulas;Disponível;103,99;82,98;-20.2%;87,35;-16.0%;Digestão > Laxantes e Reguladores Intestinais;12491;https://www.drogariaveracruz.com.br/tamarine-12mg-20-capsulas/p
VeraCruz;7896014669028;Metrexato 2,5mg 24 comprimidos;Disponível;42,41;29,01;-31.6%;30,54;-28.0%;Dor e Febre > Anti-Inflamatórios;17010;https://www.drogariaveracruz.com.br/metrexato-25mg-24-comprimidos/p
