Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Pedialyte Max Uva 500ml;235.0;12;São João;7891158104657.0;Pedialyte Plus Active 500ml Guarana Abbott;Disponível;33,90;33,90;-0.0%;33,90;-0.0%;Medicamentos > Estômago E Gastrointestinais > Diarreia;10002905.0;https://www.saojoaofarmacias.com.br/pedialyte-plus-active-500ml-guarana-abbott-10002905/p
Velunid 450+50mg 60 Comprimidos Farmasa;235.0;13;São João;7896637023641.0;Meclin 50mg 15 Comprimidos;Disponível;52,76;46,49;-11.9%;46,49;-11.9%;Medicamentos > Pele E Mucosa > Acne E Espinhas;1006299.0;https://www.saojoaofarmacias.com.br/meclin-50mg-15-comprimidos-1006299/p
Strepsils Laranja 8,75mg 16 Pastilhas;235.0;13;São João;7896523216461.0;Pastilha De Garganta Ciflogex 3mg Cereja 12 Pastilhas Cimed;Disponível;16,90;15,59;-7.8%;15,59;-7.8%;Medicamentos > Analgésicos > Dor De Garganta;13425.0;https://www.saojoaofarmacias.com.br/pastilha-de-garganta-ciflogex-3mg-cereja-12-pastilhas-cimed-13425/p
Xarope Leg 0,5mg/ml 100ml Eurofarma;234.0;12;São João;7895296446228.0;Desloratadina 0,5mg/ml Xarope 100ml Nova Química Genérico;Disponível;91,38;29,90;-67.3%;29,90;-67.3%;Medicamentos > Alergias E Infecções > Antialérgicos;10046582.0;https://www.saojoaofarmacias.com.br/desloratadina-0-5mg-ml-xarope-100ml-nova-quimica-generico-10046582/p
Fostair Spray 200/6mcg 120 Doses Chiesi;234.0;13;São João;7896015518875.0;Avamys Spray Nasal 120 Doses;Disponível;74,30;74,30;-0.0%;74,30;-0.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10096528.0;https://www.saojoaofarmacias.com.br/avamys-spray-nasal-120-doses-10096528/p
Metoprolol 25mg Genérico Cimed 30 Comprimidos Revestidos;234.0;13;São João;7896523201528.0;Metoprolol 25mg 30 Comprimidos Revestidos Genérico Cimed;Disponível;32,78;15,49;-52.7%;15,49;-52.7%;Medicamentos > Cardiológicos > Pressão Alta;10035351.0;https://www.saojoaofarmacias.com.br/metoprolol-25mg-30-comprimidos-revestidos-generico-cimed-10035351/p
Tobracin Solução Oftálmica 0,3% 5ml Latinofarma;234.0;12;São João;7896006290216.0;Lacrifilm Solução Oftálmica 15ml;Disponível;47,65;40,79;-14.4%;40,79;-14.4%;Medicamentos > Oftalmologia > Colírios;10086048.0;https://www.saojoaofarmacias.com.br/lacrifilm-solucao-oftalmica-15ml-10086048/p
Pristiq 100mg 28 Comprimidos Revestidos;234.0;13;São João;7896637023665.0;Miosan 10mg 10 Comprimidos Revestidos;Disponível;22,44;22,44;-0.0%;22,44;-0.0%;Medicamentos > Anti-inflamatórios;1006720.0;https://www.saojoaofarmacias.com.br/miosan-10mg-10-comprimidos-revestidos-1006720/p
Escena Cristália 10mg 30 Comprimidos (C1);234.0;13;São João;7896004751016.0;Desvenlafaxina Genérico EMS 100mg 30 Comprimidos (C1);Disponível;174,59;59,90;-65.7%;59,90;-65.7%;Medicamentos > Sistema Nervoso Central > Depressão;10004810.0;https://www.saojoaofarmacias.com.br/desvenlafaxina-generico-ems-100mg-30-comprimidos--c1--10004810/p
Bhena 10mg 90 Comprimidos Revestidos Biolab;234.0;13;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Amoxicilina + Clavulanato de Potássio 875mg 14 Comprimidos Revestidos Genérico Eurofarma;234.0;14;São João;7896004719597.0;Amoxicilina + Clavulanato de Potássio 875mg 14 Comprimidos Revestidos Genérico EMS;Disponível;194,22;138,89;-28.5%;138,89;-28.5%;Medicamentos > Alergias E Infecções > Infecção;10094986.0;https://www.saojoaofarmacias.com.br/amoxicilina---clavulanato-de-potassio-875mg-14-comprimidos-revestidos-generico-ems-10094986/p
Novocilin Aché 500mg 21 Cápsulas;234.0;12;São João;7897851200603.0;Monocordil 50mg 30 Cápsulas;Disponível;93,14;77,19;-17.1%;77,19;-17.1%;Medicamentos > Cardiológicos > Insuficiência Cardíaca;10090302.0;https://www.saojoaofarmacias.com.br/monocordil-50mg-30-capsulas-10090302/p
Simeco Plus Suspensão Oral 240ml;234.0;12;São João;7894916500746.0;Sucrafilm Suspensão Oral 10ml;Disponível;116,57;97,79;-16.1%;97,79;-16.1%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1000319.0;https://www.saojoaofarmacias.com.br/sucrafilm-suspensao-oral-10ml-1000319/p
Metamucil Pó para Solução Oral 210g;234.0;12;São João;7896004716299.0;Solução Oral Paracetamol Genérico EMS Bebê 100mg 15ml;Disponível;27,30;21,89;-19.8%;21,89;-19.8%;Medicamentos > Analgésicos > Dor E Febre;10090128.0;https://www.saojoaofarmacias.com.br/solucao-oral-paracetamol-generico-ems-bebe-100mg-15ml-10090128/p
Novamox 875mg/125mg 14 Comprimidos;234.0;13;São João;7896658000393.0;Famox 40mg 10 Comprimidos;Disponível;56,36;49,09;-12.9%;49,09;-12.9%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1006.0;https://www.saojoaofarmacias.com.br/famox-40mg-10-comprimidos-1006/p
Ultraproct LDO Creme Retal 30g + Aplicador;234.0;12;São João;7896226102351.0;Takil Creme Vaginal 35g + 7 Aplicadores Marjan Farma;Disponível;103,71;103,71;-0.0%;103,71;-0.0%;Medicamentos > Antifúngicos;999728.0;https://www.saojoaofarmacias.com.br/takil-creme-vaginal-35g---7-aplicadores-marjan-farma-999728/p
Ecoxe 90mg 7 Comprimidos (C1);234.0;13;São João;7896658000379.0;Famox 20Mg 10 Comprimidos Ache;Disponível;34,57;30,49;-11.8%;30,49;-11.8%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1005.0;https://www.saojoaofarmacias.com.br/famox-20mg-10-comprimidos-ache-1005/p
Glucoreumin 1,5g 30 Sachês Mylan;234.0;12;São João;7895296250016.0;Glicosamina Genérico Nova Química 30 Sachês;Disponível;196,86;99,90;-49.3%;99,90;-49.3%;Medicamentos > Saúde Óssea;100012001.0;https://www.saojoaofarmacias.com.br/glicosamina-generico-nova-quimica-30-saches-100012001/p
Artrolive 30 Cápsulas Ache;234.0;15;São João;7896658001864.0;Artrosil 160mg 20 Cápsulas Aché;Disponível;81,99;68,89;-16.0%;68,89;-16.0%;Medicamentos > Alergias E Infecções;5098.0;https://www.saojoaofarmacias.com.br/artrosil-160mg-20-capsulas-ache-5098/p
Ganfort Solução Oftálmica 3ml;234.0;13;São João;7896006290216.0;Lacrifilm Solução Oftálmica 15ml;Disponível;47,65;40,79;-14.4%;40,79;-14.4%;Medicamentos > Oftalmologia > Colírios;10086048.0;https://www.saojoaofarmacias.com.br/lacrifilm-solucao-oftalmica-15ml-10086048/p
Aristab 20mg 30 Comprimidos Aché (C1);234.0;13;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Bramicar Sigma Pharma 40mg 30 Comprimidos;234.0;12;São João;7894916508933.0;Bramicar Sigma Pharma 40mg 30 Comprimidos;Disponível;98,37;98,37;-0.0%;98,37;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10003298.0;https://www.saojoaofarmacias.com.br/bramicar-sigma-pharma-40mg-30-comprimidos-10003298/p
"Tylenol Sinus Johnson &amp; Johnson 24 Comprimidos Revestidos";234.0;12;São João;7891010256630.0;Tylenol Dor de Cabeça 500mg+65mg 10 Comprimidos Revestidos Johnson & Johnson;Disponível;21,87;14,99;-31.5%;14,99;-31.5%;Medicamentos > Analgésicos;10040736.0;https://www.saojoaofarmacias.com.br/tylenol-dor-de-cabeca-500mg-65mg-10-comprimidos-revestidos-johnson---johnson-10040736/p
Melysse XPE 50mg/ml Adicional 120ml Biosintética;234.0;15;São João;7896004718446.0;Solução Oral Dipirona Genérico EMS 500mg 20ml;Disponível;16,59;10,09;-39.2%;10,09;-39.2%;Medicamentos > Analgésicos > Dor E Febre;12356.0;https://www.saojoaofarmacias.com.br/solucao-oral-dipirona-generico-ems-500mg-20ml-12356/p
Brasart BCC 160mg/5mg 30 Comprimidos Revestidos;234.0;12;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Brasart BCC 160+5mg 60 Comprimidos Revestidos Sigma;233.0;12;São João;7894916512022.0;Somalgin Cardio Sigma 100mg com 60 Comprimidos Revestidos;Disponível;49,34;42,59;-13.7%;42,59;-13.7%;Medicamentos > Sistema Circulatório > Anticoagulante;100017204.0;https://www.saojoaofarmacias.com.br/somalgin-cardio-sigma-100mg-com-60-comprimidos-revestidos-100017204/p
Levetiracetam 750mg 30 Comprimidos Revestidos Genérico Eurofarma (C1);233.0;14;São João;7896004782980.0;Levetiracetam 750mg 30 Comprimidos Revestidos Genérico SEM (C1);Disponível;266,35;99,90;-62.5%;99,90;-62.5%;Medicamentos > Sistema Nervoso Central > Epilepsia;10040695.0;https://www.saojoaofarmacias.com.br/levetiracetam-750mg-30-comprimidos-revestidos-generico-sem--c1--10040695/p
Revange 37,5 + 325mg 20 Comprimidos Revestidos Aché (A2);233.0;12;São João;7891317177652.0;Primera 20Mcg 63 Comprimidos Revestidos;Disponível;93,49;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10096588.0;https://www.saojoaofarmacias.com.br/primera-20mcg-63-comprimidos-revestidos-10096588/p
Capilarema 75mg 60 Comprimidos;233.0;12;São João;7891268100228.0;Aldactone 50mg 30 Comprimidos Pfizer;Disponível;69,59;58,89;-15.4%;58,89;-15.4%;Medicamentos > Cardiológicos > Pressão Alta;7031.0;https://www.saojoaofarmacias.com.br/aldactone-50mg-30-comprimidos-pfizer-7031/p
Floral Therapi Maternim 30ml;233.0;14;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Gengimin 160mg 15 Comprimidos FQM;233.0;12;São João;7896637023641.0;Meclin 50mg 15 Comprimidos;Disponível;52,76;46,49;-11.9%;46,49;-11.9%;Medicamentos > Pele E Mucosa > Acne E Espinhas;1006299.0;https://www.saojoaofarmacias.com.br/meclin-50mg-15-comprimidos-1006299/p
Concor 1,25mg 30 Comprimidos Revestidos Merck;233.0;14;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Xarope Desloratadina 0,5mg/ml 100ml Genérico EMS;233.0;13;São João;7895296446228.0;Desloratadina 0,5mg/ml Xarope 100ml Nova Química Genérico;Disponível;91,38;29,90;-67.3%;29,90;-67.3%;Medicamentos > Alergias E Infecções > Antialérgicos;10046582.0;https://www.saojoaofarmacias.com.br/desloratadina-0-5mg-ml-xarope-100ml-nova-quimica-generico-10046582/p
Ivermectina 6mg Genérico Vitamedic 4 Comprimidos;233.0;13;São João;7898049793310.0;Ivermectina 6mg 4 Comprimidos Genérico Vitamedic;Disponível;37,84;33,09;-12.6%;33,09;-12.6%;Medicamentos > Antiparasitários;10101998.0;https://www.saojoaofarmacias.com.br/ivermectina-6mg-4-comprimidos-generico-vitamedic-10101998/p
Maxapran 20mg 28 Comprimidos Ache (C1);233.0;14;São João;7896658000379.0;Famox 20Mg 10 Comprimidos Ache;Disponível;34,57;30,49;-11.8%;30,49;-11.8%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1005.0;https://www.saojoaofarmacias.com.br/famox-20mg-10-comprimidos-ache-1005/p
Nebitah 5mg 30 Comprimidos Aché;233.0;13;São João;7896658008801.0;Levoid 88mcg 30 Comprimidos Aché;Disponível;27,15;24,29;-10.5%;24,29;-10.5%;Medicamentos > Reposição Hormonal > Tireoide;10090184.0;https://www.saojoaofarmacias.com.br/levoid-88mcg-30-comprimidos-ache-10090184/p
Doricin 35mg/300mg/50mg 36 Comprimidos;233.0;15;São João;7896004715032.0;Dorilen 500mg/10mg/5mg 12 Comprimidos;Disponível;21,90;20,59;-6.0%;20,59;-6.0%;Medicamentos > Analgésicos > Dor Muscular;11362.0;https://www.saojoaofarmacias.com.br/dorilen-500mg-10mg-5mg-12-comprimidos-11362/p
Donepezila 5mg 30 Comprimidos Revestidos Genérico Torrent (C1);233.0;12;São João;7896004768212.0;Donepezila Genérico EMS 5mg 30 Comprimidos Revestidos (C1);Disponível;178,11;39,99;-77.5%;39,99;-77.5%;Medicamentos > Sistema Nervoso Central > Alzheimer;10025677.0;https://www.saojoaofarmacias.com.br/donepezila-generico-ems-5mg-30-comprimidos-revestidos--c1--10025677/p
Clortalidona 25mg 60 Comprimidos Genérico EMS;233.0;13;São João;7896004782713.0;Apixabana 2,5mg 60 Comprimidos Ems Genérico;Disponível;260,18;112,90;-56.6%;112,90;-56.6%;Medicamentos > Cardiológicos > Pressão Alta;10046569.0;https://www.saojoaofarmacias.com.br/apixabana-2-5mg-60-comprimidos-ems-generico-10046569/p
Trezor 20mg 60 Comprimidos Revestidos Aché;233.0;12;São João;7896658047992.0;Trezete 10+10mg 60 Comprimidos Revestidos Aché;Disponível;168,73;139,09;-17.6%;139,09;-17.6%;Medicamentos > Cardiológicos > Colesterol;10035814.0;https://www.saojoaofarmacias.com.br/trezete-10-10mg-60-comprimidos-revestidos-ache-10035814/p
Ebatz 2mg 90 Comprimidos Revestidos Libbs;233.0;13;São João;7896094210271.0;Iumi ES 3mg+0,02mg 30 Comprimidos Revestidos Libbs;Disponível;76,95;65,19;-15.3%;65,19;-15.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10000692.0;https://www.saojoaofarmacias.com.br/iumi-es-3mg-0-02mg-30-comprimidos-revestidos-libbs-10000692/p
