Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7891317452995;Domperidona Comprimido Eurofarma 10Mg, Caixa Com 30 Comprimidos;Disponível;22,83;17,23;-24.5%;17,58;-23.0%;Digestivo;14404;https://www.farmaponte.com.br/domperidona-comprimido-eurofarma-10mg-caixa-com-30-comprimidos/p
FarmaPonte;7896004763576;Sulfato de Hidroxicloroquina 400mg 30 Comprimidos EMS Genérico;Disponível;95,19;76,50;-19.6%;78,06;-18.0%;Psicotropico;26672;https://www.farmaponte.com.br/sulfato-de-hidroxicloroquina-400mg-30-comprimidos-ems-generico/p
FarmaPonte;7898586631397;Solução Oftalmica Timoptol-XE 0,5  Mundipharma 5mL;Disponível;0;77,15;0;0;0;Antiglaucomatoso;23790;https://www.farmaponte.com.br/timoptol-xe-05-5ml/p
FarmaPonte;7896714212371;Bromazepam 6mg Genérico Neo Química 30 comprimidos;Disponível;39,12;33,35;-14.7%;34,03;-13.0%;Psicotropico;25951;https://www.farmaponte.com.br/bromazepam-6mg-generico-neo-quimica-30-comprimidos/p
FarmaPonte;7896226109589;Colágeno Tipo II Colaten HA 60 cápsulas;Disponível;260,89;250,17;-4.1%;85,09;-67.4%;Relaxante Muscular;21639;https://www.farmaponte.com.br/colaten-ha-com-60-capsulas-duras/p
FarmaPonte;7899547514193;Dicloridrato de Pramipexol 0,25mg 30 comprimidos Prati Donaduzzi Genérico;Disponível;53,45;22,00;-58.8%;22,45;-58.0%;Psicotropico;20969;https://www.farmaponte.com.br/pramipexol-025mg-30cpr-prati/p
FarmaPonte;7898040329792;Varicell Duo 30 comprimidos;Disponível;55,20;44,71;-19.0%;45,62;-17.4%;Antivaricoso;25884;https://www.farmaponte.com.br/varicell-duo-30-comprimidos/p
FarmaPonte;7896112136385;Cetoprofeno Gotas Teuto 20Mg Ml, Caixa Com 1 Frasco Gotejador Com 20Ml De Solucao De Uso Oral;Disponível;19,02;17,15;-9.8%;17,50;-8.0%;Reumatismo;16276;https://www.farmaponte.com.br/cetoprofeno-gotas-teuto-20mgml-caixa-com-1-frasco-gotejador-com-20ml-de-solucao-de-uso-oral/p
FarmaPonte;7896360001794;Algi Articular 30 Sachês;Disponível;0;211,82;0;0;0;Relaxante Muscular;20523;https://www.farmaponte.com.br/algi-articular-30saches/p
FarmaPonte;7896181927693;Succinato de Desvenlafaxina Monoidratado 50mg com 30 Comprimidos Aché Biosintética Genérico;Disponível;130,57;53,74;-58.8%;54,84;-58.0%;Psicotropico;21001;https://www.farmaponte.com.br/suc-desvenlafaxina-50mg-30cpr-bio/p
FarmaPonte;7896658008740;Levoid 25Mcg, Caixa Contendo 30 Comprimidos;Disponível;18,68;16,66;-10.8%;17,00;-9.0%;Tratamento De Distúrbios Hormonais;14161;https://www.farmaponte.com.br/levoid-25mcg-caixa-contendo-30-comprimidos/p
FarmaPonte;7895296113182;Escitalopram 20mg Genérico Neo Química 30 Comprimidos;Disponível;160,17;65,92;-58.8%;67,27;-58.0%;Psicotropico;20968;https://www.farmaponte.com.br/escitalopram-20mg-30cp-nq/p
FarmaPonte;-;Maleato De Dexclorfeniramina Neo Quimica 2Mg, Caixa Com 20 Comprimidos;Disponível;15,35;6,91;-55.0%;13,82;-10.0%;Anti Histaminico E Antialergico Topico;-;https://www.farmaponte.com.br/maleato-de-dexclorfeniramina-neo-quimica-2mg-caixa-com-20-comprimidos/p
FarmaPonte;7896641600562;Decadron Colírio 1mg mL 5mL Solução;Disponível;17,89;16,66;-6.9%;17,00;-5.0%;Antibiotico;18778;https://www.farmaponte.com.br/decadron-col/p
